run_datetime,rsi_filter_long,rsi_filter_short,rr_multiplier,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl_per_trade,avg_profit_winning_trade,avg_loss_losing_trade,max_profit_single_trade,max_loss_single_trade,profit_factor,max_drawdown_percentage,avg_trade_duration_hours,pnl_rank,win_rate_rank,profit_factor_rank,composite_rank_score
2025-06-03T18:55:41.424589+00:00,< 46,> 60,2.5,70,37,33,52.85714285714286,26575.103800001496,379.6443400000214,1061.973600000046,-385.3914969697033,8030.0000000002,-2311.999999999989,3.0895795109380115,2.0970785692130756,2.9071428571428575,1.0,2.0,1.0,4.0
2025-06-03T19:43:59.408381+00:00,< 46,> 60,2.5,70,37,33,52.85714285714286,26575.103800001496,379.6443400000214,1061.973600000046,-385.3914969697033,8030.0000000002,-2311.999999999989,3.0895795109380115,2.0970785692130756,2.9071428571428575,1.0,2.0,1.0,4.0
2025-06-03T10:21:01.257779+00:00,< 46,> 60,1.5,70,38,32,54.285714285714285,25585.168800002313,365.5024114286045,1004.2393736842768,-392.9977312500057,7524.0240000000085,-2311.999999999989,3.0344558286812284,2.1369029875719185,2.760714285714286,3.0,1.0,3.0,7.0
2025-06-03T18:51:18.305574+00:00,< 46,> 60,2.0,70,37,33,52.85714285714286,25338.052800001897,361.97218285716997,1028.5397891892458,-385.3914969697033,7524.0240000000085,-2311.999999999989,2.9923111637271003,2.1277295952632884,2.861904761904762,4.0,2.0,4.0,10.0
2025-06-03T19:22:14.507696+00:00,< 46,> 60,5.5,70,35,35,50.0,24328.280800002016,347.54686857145737,1075.9480628572055,-380.8543257142914,7524.0240000000085,-2311.999999999989,2.825090829254118,2.0899141196635442,2.9857142857142858,5.0,6.0,5.0,16.0
2025-06-03T10:11:06.902696+00:00,< 46,> 60,6.0,70,35,35,50.0,23818.29880000188,340.2614114285983,1061.3771485714879,-380.8543257142914,7524.0240000000085,-2311.999999999989,2.786832331708134,2.0788818556029076,2.989285714285714,6.0,6.0,6.0,18.0
2025-06-03T19:26:35.801061+00:00,< 46,> 60,6.0,70,35,35,50.0,23818.29880000188,340.2614114285983,1061.3771485714879,-380.8543257142914,7524.0240000000085,-2311.999999999989,2.786832331708134,2.0788818556029076,2.989285714285714,6.0,6.0,6.0,18.0
2025-06-03T19:17:57.649935+00:00,< 46,> 60,5.0,70,35,35,50.0,23496.26280000167,335.660897142881,1052.1761200000533,-380.8543257142914,7524.0240000000085,-2311.999999999989,2.762673413323321,2.101064101038639,2.982142857142857,8.0,6.0,8.0,22.0
2025-06-03T19:13:40.940841+00:00,< 46,> 60,4.5,70,35,35,50.0,23114.16080000135,330.20229714287643,1041.2589200000446,-380.8543257142914,7524.0240000000085,-2311.999999999989,2.7340083850883556,2.104496483679962,2.973809523809524,9.0,6.0,9.0,24.0
2025-06-03T19:00:02.475985+00:00,< 46,> 60,3.0,70,36,34,51.42857142857142,22876.13680000126,326.8019542857323,1004.8899500000391,-391.17357058824064,7524.0240000000085,-2311.999999999989,2.7200230371633367,2.1450400645405763,2.935714285714286,10.0,5.0,10.0,25.0
2025-06-03T19:04:36.945217+00:00,< 46,> 60,3.5,70,35,35,50.0,22407.14480000155,320.10206857145073,1021.0584628571918,-380.8543257142914,7524.0240000000085,-2311.999999999989,2.6809685328956134,2.131353071591474,2.9535714285714287,11.0,6.0,11.0,28.0
2025-06-03T19:08:49.125093+00:00,< 46,> 60,4.0,70,35,35,50.0,22166.152800001335,316.65932571430477,1014.1729771429008,-380.8543257142914,7524.0240000000085,-2311.999999999989,2.6628894794376348,2.117839638125351,2.9714285714285715,12.0,6.0,12.0,30.0
