entry_datetime,entry_price,direction,reference_stop_loss_price,take_profit_price,position_size,exit_datetime,exit_price,exit_reason,pnl,account_balance_after_trade,crossover_candle_rsi,crossover_candle_sma_rsi,crossover_candle_atr,crossover_candle_datetime,crossover_candle_time_of_day,crossover_candle_day_of_week,cc_open,cc_high,cc_low,cc_close,crossover_candle_body_size,crossover_candle_upper_wick,crossover_candle_lower_wick,duration_bars
2024-05-24 04:10:00+00:00,2334.98999,long,2332.0800879999997,2337.8998920000004,200.0,2024-05-24 04:15:00+00:00,2333.050049,RSI Crossover Stop,-387.98820000001797,99612.01179999998,38.84248650874657,38.675555114344306,2.958862070852539,2024-05-24 04:05:00+00:00,04:05:00,Friday,2332.47998,2334.3501,2332.090088,2334.13989,1.6599099999998543,0.2102100000001883,0.38989200000014534,1
2024-05-24 04:25:00+00:00,2335.37988,long,2332.8898999999997,2337.8698600000002,200.0,2024-05-24 05:25:00+00:00,2333.3501,RSI Crossover Stop,-405.9559999999692,99206.0558,39.994502578357285,38.580550778086895,2.87062237123232,2024-05-24 04:20:00+00:00,04:20:00,Friday,2333.060059,2335.11011,2332.8999,2334.40991,1.3498509999999442,0.7002000000002226,0.16015900000002148,12
2024-05-24 11:15:00+00:00,2332.76001,long,2326.8698799999997,2338.65014,200.0,2024-05-24 12:15:00+00:00,2330.070068,RSI Crossover Stop,-537.9883999999947,98894.04140000005,42.40348038113261,41.99841153418147,1.4083928876006278,2024-05-24 11:10:00+00:00,11:10:00,Friday,2328.76001,2329.31006,2326.87988,2329.23999,0.4799800000000687,0.0700699999997596,1.8801300000000083,12
2024-05-25 04:05:00+00:00,2335.59009,long,2332.6298899999997,2338.5502900000006,200.0,2024-05-25 04:50:00+00:00,2334.93994,RSI Crossover Stop,-130.02999999998792,98764.01140000006,48.01939785494594,44.17776461386425,1.4437769608644628,2024-05-25 04:00:00+00:00,04:00:00,Saturday,2332.77002,2335.18994,2332.63989,2334.82007,2.050050000000283,0.3698699999999917,0.1301300000000083,9
2024-05-28 03:35:00+00:00,2354.21997,short,2354.82006,2353.61988,200.0,2024-05-28 03:40:00+00:00,2354.67993,RSI Crossover Stop,-91.99199999993652,99100.0434000003,54.69130863487772,55.18441139876495,1.1080265569977674,2024-05-28 03:30:00+00:00,03:30:00,Tuesday,2354.81006,2354.81006,2354.060059,2354.43994,0.3701199999995879,0.0,0.3798810000002959,1
2024-05-29 11:30:00+00:00,2358.27002,long,2357.5200299999997,2359.02001,200.0,2024-05-29 11:35:00+00:00,2357.55005,RSI Crossover Stop,-143.9940000000206,99936.02340000041,47.837884643856164,47.64143036314126,1.1438769306882226,2024-05-29 11:25:00+00:00,11:25:00,Wednesday,2358.15991,2358.76001,2357.66992,2358.060059,0.09985099999994418,0.6001000000001113,0.39013900000009016,1
2024-05-29 15:05:00+00:00,2357.96997,short,2358.6599,2357.28004,200.0,2024-05-29 15:20:00+00:00,2358.6499,RSI Crossover Stop,-135.98599999995713,99800.03740000045,50.72694741052227,50.841285729091375,1.0299419343587826,2024-05-29 15:00:00+00:00,15:00:00,Wednesday,2358.44995,2358.6499,2358.060059,2358.1499,0.30005000000028303,0.19994999999971697,0.08984099999997852,3
2024-05-30 10:55:00+00:00,2336.93994,long,2336.1298899999997,2337.7499900000007,200.0,2024-05-30 11:00:00+00:00,2335.87988,RSI Crossover Stop,-212.01200000004974,99830.01340000053,44.574823653202586,43.59018232707745,1.0631187949758447,2024-05-30 10:50:00+00:00,10:50:00,Thursday,2336.3999,2337.52002,2336.18994,2336.62012,0.22022000000015396,0.8998999999998887,0.20995999999968262,1
2024-05-30 11:10:00+00:00,2339.090088,long,2335.1398999999997,2343.040276,200.0,2024-05-30 11:35:00+00:00,2335.31006,RSI Crossover Stop,-756.0056000000259,99074.00780000052,44.31309422285305,42.59205727009061,1.2122129564730317,2024-05-30 11:05:00+00:00,11:05:00,Thursday,2335.86011,2336.8501,2335.1499,2336.34009,0.4799800000000687,0.5100099999999657,0.7102100000001883,5
2024-05-31 11:10:00+00:00,2344.93994,short,2347.53002,2342.3498600000003,200.0,2024-05-31 11:25:00+00:00,2346.8501,RSI Crossover Stop,-382.03199999998105,98691.97580000054,52.689212654972984,53.14690877698381,1.2453312269545778,2024-05-31 11:05:00+00:00,11:05:00,Friday,2346.72998,2347.52002,2344.72998,2344.98999,1.7399900000000343,0.7900399999998626,0.26000999999996566,3
2024-06-03 10:15:00+00:00,2325.84009,long,2324.31007,2327.3701100000003,200.0,2024-06-03 10:30:00+00:00,2324.8999,RSI Crossover Stop,-188.0380000000514,98891.97380000059,45.99074394849836,45.40640543501898,1.2144530706007055,2024-06-03 10:10:00+00:00,10:10:00,Monday,2324.8501,2325.76001,2324.32007,2325.53003,0.6799299999997857,0.22998000000006869,0.530029999999897,3
2024-06-04 10:10:00+00:00,2350.97998,short,2351.4499400000004,2350.5100199999997,200.0,2024-06-04 10:15:00+00:00,2351.22998,RSI Crossover Stop,-50.0,99724.00180000067,57.27625968092984,57.4768657240006,0.6903683985970622,2024-06-04 10:05:00+00:00,10:05:00,Tuesday,2351.43994,2351.43994,2350.32007,2351.060059,0.3798810000002959,0.0,0.7399889999996958,1
2024-06-05 04:25:00+00:00,2327.69995,short,2329.2099500000004,2326.18995,200.0,2024-06-05 04:55:00+00:00,2328.34009,RSI Crossover Stop,-128.0279999999948,99857.9836000007,51.88541701026789,52.03838516427418,1.7337775686356336,2024-06-05 04:20:00+00:00,04:20:00,Wednesday,2328.30005,2329.19995,2328.11011,2328.30005,0.0,0.8999000000003434,0.1899399999997513,6
2024-06-06 03:40:00+00:00,2352.88989,short,2354.52001,2351.2597699999997,200.0,2024-06-06 03:50:00+00:00,2355.02002,RSI Crossover Stop,-426.02600000000166,100189.96160000078,58.06295008819843,58.85058639811198,1.7926527944287944,2024-06-06 03:35:00+00:00,03:35:00,Thursday,2354.31006,2354.51001,2353.52002,2353.8501,0.4599599999996826,0.1999500000001717,0.33008000000018,2
2024-06-06 04:10:00+00:00,2353.77002,short,2355.3300700000004,2352.2099699999994,200.0,2024-06-06 04:25:00+00:00,2355.68994,RSI Crossover Stop,-383.98400000005495,99805.97760000073,58.03250378915478,58.77987544554451,1.6026282200802604,2024-06-06 04:05:00+00:00,04:05:00,Thursday,2355.32007,2355.32007,2354.02002,2354.57007,0.75,0.0,0.550050000000283,3
2024-06-06 12:00:00+00:00,2366.3999,short,2368.53002,2364.2697799999996,200.0,2024-06-06 12:40:00+00:00,2371.56006,RSI Crossover Stop,-1032.031999999981,98773.94560000075,68.26218341070128,69.57944800909833,2.163773889767846,2024-06-06 11:55:00+00:00,11:55:00,Thursday,2367.76001,2368.52002,2366.38989,2367.51001,0.25,0.7600099999999657,1.1201200000000426,8
2024-06-07 04:05:00+00:00,2369.18994,short,2373.1599,2365.2199800000003,200.0,2024-06-07 04:35:00+00:00,2372.43994,RSI Crossover Stop,-650.0,98483.95360000076,51.550222189366835,54.3630551152634,1.9433458881199888,2024-06-07 04:00:00+00:00,04:00:00,Friday,2373.1499,2373.1499,2370.90991,2370.94995,2.199949999999717,0.0,0.04004000000031738,6
2024-06-07 06:10:00+00:00,2372.76001,short,2373.57006,2371.94996,200.0,2024-06-07 06:25:00+00:00,2373.32007,RSI Crossover Stop,-112.01200000004974,98515.93360000079,52.851980856986145,54.09797868515938,1.1387064784122234,2024-06-07 06:05:00+00:00,06:05:00,Friday,2373.47998,2373.56006,2372.72998,2372.87988,0.6001000000001113,0.08007999999972526,0.14989999999988868,3
2024-06-07 09:40:00+00:00,2376.8501,short,2377.79003,2375.91017,200.0,2024-06-07 10:10:00+00:00,2377.3501,RSI Crossover Stop,-100.0,98415.93360000079,59.025130340665605,60.19013827542856,0.6315449593286344,2024-06-07 09:35:00+00:00,09:35:00,Friday,2377.36011,2377.78003,2377.060059,2377.060059,0.3000510000001668,0.41991999999982,0.0,6
2024-06-10 14:20:00+00:00,2295.37988,long,2293.8898999999997,2296.8698600000002,200.0,2024-06-10 14:30:00+00:00,2294.72998,RSI Crossover Stop,-129.97999999997774,101275.88560000094,45.90862350374211,45.795874681919926,1.2837885220614154,2024-06-10 14:15:00+00:00,14:15:00,Monday,2294.18994,2295.78003,2293.8999,2295.060059,0.8701189999997041,0.7199709999999868,0.2900400000003174,2
2024-06-10 14:40:00+00:00,2295.59009,long,2294.56007,2296.6201100000003,200.0,2024-06-10 14:45:00+00:00,2294.3501,RSI Crossover Stop,-247.99800000000687,101027.88760000093,46.29589901073836,45.64796192371416,1.2116552865627748,2024-06-10 14:35:00+00:00,14:35:00,Monday,2294.73999,2295.6001,2294.57007,2295.11011,0.37012000000004264,0.48999000000003434,0.16991999999982,1
2024-06-10 14:55:00+00:00,2294.8999,long,2293.56007,2296.23973,200.0,2024-06-10 15:05:00+00:00,2293.090088,RSI Crossover Stop,-361.96239999999307,100665.92520000094,46.07246547007727,45.3994490895858,1.2044994841758478,2024-06-10 14:50:00+00:00,14:50:00,Monday,2294.36011,2294.8501,2294.27002,2294.8501,0.48999000000003434,0.0,0.09009000000014566,2
2024-06-13 10:55:00+00:00,2320.86011,long,2319.43995,2322.28027,200.0,2024-06-13 11:05:00+00:00,2317.17993,RSI Crossover Stop,-736.0360000000583,101965.91120000102,45.37664841386636,43.394446521828634,1.1228647470908841,2024-06-13 10:50:00+00:00,10:50:00,Thursday,2319.65991,2320.55005,2319.44995,2320.46997,0.8100600000002487,0.08007999999972526,0.20995999999968262,2
2024-06-13 12:00:00+00:00,2314.47998,long,2311.0000099999997,2317.9599500000004,200.0,2024-06-13 13:20:00+00:00,2313.11011,RSI Crossover Stop,-273.97399999999834,101691.93720000102,38.298522617668596,37.080721311272676,1.9612704109441328,2024-06-13 11:55:00+00:00,11:55:00,Thursday,2311.1499,2312.84009,2311.01001,2312.73999,1.5900900000001457,0.10010000000011132,0.13988999999992302,16
2024-06-14 06:10:00+00:00,2304.22998,long,2303.17994,2305.28002,200.0,2024-06-14 06:25:00+00:00,2303.81006,RSI Crossover Stop,-83.98400000005495,101841.98520000099,49.51381420283625,49.470449026677464,1.0231647655017087,2024-06-14 06:05:00+00:00,06:05:00,Friday,2303.22998,2303.97998,2303.18994,2303.86011,0.6301300000000083,0.1198699999999917,0.04003999999986263,3
