trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
SHORT_ORIG,2025-04-01 07:30:00,35.88492,2025-04-01 07:30:00,34.88492,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-02 22:00:00,35.49289,2025-04-02 22:00:00,34.49289,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-03 00:15:00,35.63647,2025-04-03 00:15:00,34.63647,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-03 05:15:00,35.13647,2025-04-03 05:15:00,34.13647,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-03 09:45:00,34.63647,2025-04-03 09:45:00,33.63647,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-03 12:15:00,34.13647,2025-04-03 12:15:00,33.13647,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-04 02:15:00,33.74766,2025-04-04 02:15:00,32.74766,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-04 07:30:00,33.24766,2025-04-04 07:30:00,32.24766,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-04 13:00:00,32.74766,2025-04-04 13:00:00,31.74766,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-04 14:00:00,32.24766,2025-04-04 14:00:00,31.24766,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-04 14:45:00,31.74766,2025-04-04 14:45:00,30.74766,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-04 17:15:00,31.24766,2025-04-04 17:15:00,30.24766,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
LONG,2025-04-04 17:15:00,29.24766,2025-04-04 19:45:00,29.74766,0.01,2200.0,0.0,88.74,222.0416,2111.26,79.46,CLOSED_TP
SHORT_ORIG,2025-04-06 22:00:00,31.43031,2025-04-06 22:00:00,30.43031,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-06 22:15:00,30.93031,2025-04-06 22:15:00,29.93031,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-06 23:30:00,30.43031,2025-04-06 23:30:00,29.43031,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-07 00:00:00,30.49491,2025-04-07 00:00:00,29.49491,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
LONG,2025-04-06 23:30:00,28.43031,2025-04-07 00:45:00,28.93031,0.01,2200.0,-19.97,88.74,286.4796,2091.29,79.46,CLOSED_TP
LONG,2025-04-07 00:00:00,28.49491,2025-04-07 00:45:00,28.99491,0.01,2200.0,0.0,88.74,236.3218,2111.26,79.46,CLOSED_TP
LONG,2025-04-06 22:00:00,29.43031,2025-04-07 01:00:00,29.93031,0.01,2200.0,-19.97,88.74,4686.4796,2091.29,79.46,CLOSED_TP
LONG,2025-04-06 22:15:00,28.93031,2025-04-07 01:00:00,29.43031,0.01,2200.0,-19.97,88.74,2486.4796,2091.29,79.46,CLOSED_TP
LONG,2025-04-04 14:45:00,29.74766,2025-04-07 01:15:00,30.24766,0.01,2200.0,-59.91,88.74,6082.8416,2051.35,79.46,CLOSED_TP
LONG,2025-04-04 14:00:00,30.24766,2025-04-07 01:30:00,30.74766,0.01,2200.0,-59.91,88.74,8282.8416,2051.35,79.46,CLOSED_TP
SHORT_ORIG,2025-04-08 00:45:00,31.87607,2025-04-08 00:45:00,30.87607,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
LONG,2025-04-08 00:45:00,29.87607,2025-04-08 11:45:00,30.37607,0.01,2200.0,0.0,88.74,78.6236,2111.26,79.46,CLOSED_TP
SHORT_ORIG,2025-04-08 16:30:00,31.87607,2025-04-08 16:30:00,30.87607,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-09 00:30:00,31.49001,2025-04-09 00:30:00,30.49001,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
LONG,2025-04-09 00:30:00,29.49001,2025-04-09 06:00:00,29.99001,0.01,2200.0,0.0,88.74,562.3596,2111.26,79.46,CLOSED_TP
LONG,2025-04-08 16:30:00,29.87607,2025-04-09 07:15:00,30.37607,0.01,2200.0,-19.97,88.74,2261.0236,2091.29,79.46,CLOSED_TP
LONG,2025-04-04 13:00:00,30.74766,2025-04-10 05:45:00,31.24766,0.01,2200.0,-119.82,88.74,10482.8416,1991.44,79.46,CLOSED_TP
SHORT_ORIG,2025-04-10 08:30:00,32.73475,2025-04-10 08:30:00,31.73475,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
LONG,2025-04-10 08:30:00,30.73475,2025-04-10 20:45:00,31.23475,0.01,2200.0,0.0,88.74,680.0376,2111.26,79.46,CLOSED_TP
SHORT_ORIG,2025-04-11 01:15:00,33.00838,2025-04-11 01:15:00,32.00838,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
LONG,2025-04-11 01:15:00,31.00838,2025-04-11 11:45:00,31.50838,0.01,2200.0,0.0,88.74,374.7876,2111.26,79.46,CLOSED_TP
LONG,2025-04-04 07:30:00,31.24766,2025-04-11 13:30:00,31.74766,0.01,2200.0,-139.79,88.74,12682.8416,1971.47,79.46,CLOSED_TP
LONG,2025-04-04 02:15:00,31.74766,2025-04-11 15:00:00,32.24766,0.01,2200.0,-139.79,88.74,14882.8416,1971.47,79.46,CLOSED_TP
SHORT_ORIG,2025-04-13 22:00:00,34.11979,2025-04-13 22:00:00,33.11979,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-14 01:00:00,33.91283,2025-04-14 01:00:00,32.91283,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2025-04-15 15:00:00,34.1387,2025-04-15 15:00:00,33.1387,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
LONG,2025-04-14 01:00:00,31.91283,2025-04-16 00:00:00,32.41283,0.01,2200.0,-39.94,88.74,610.8696,2071.32,79.46,CLOSED_TP
LONG,2025-04-03 12:15:00,32.13647,2025-04-16 07:00:00,32.63647,0.01,2200.0,-259.61,88.74,16593.599,1851.65,79.46,CLOSED_TP
LONG,2025-04-13 22:00:00,32.11979,2025-04-16 07:00:00,32.61979,0.01,2200.0,-59.91,88.74,1521.4936,2051.35,79.46,CLOSED_TP
LONG,2025-04-15 15:00:00,32.1387,2025-04-16 07:00:00,32.6387,0.01,2200.0,-19.97,88.74,217.7956,2091.29,79.46,CLOSED_TP
SHORT_ORIG,2025-04-17 01:15:00,34.64615,2025-04-17 01:15:00,33.64615,0.01,4400.0,0.0,88.74,0.0,4311.26,79.46,CLOSED_TP_SAME_CANDLE
